"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"BAT1";"1060TR";"SMD_Battery-Holder_(1060TR)";"0.0000";"-6.0000";"0";"TopLayer"
"C11";"4.7µF";"SMD_Keramikkondensator_0603";"25.7500";"42.7500";"270";"TopLayer"
"C12";"4.7µF";"SMD_Keramikkondensator_0603";"25.7500";"46.2500";"90";"TopLayer"
"C13";"100nF";"SMD_Keramikkondensator_0603";"23.7500";"38.2500";"180";"TopLayer"
"C14";"4.7µF";"SMD_Keramikkondensator_0603";"23.7500";"37.0000";"180";"TopLayer"
"C15";"100nF";"SMD_Keramikkondensator_0603";"22.2500";"53.2500";"90";"TopLayer"
"C16";"100nF";"SMD_Keramikkondensator_0603";"24.7500";"50.5000";"0";"TopLayer"
"C17";"10µF";"SMD_Keramikkondensator_1206";"24.7500";"48.7500";"0";"TopLayer"
"C18";"2.2µF";"SMD_Keramikkondensator_0603";"12.2500";"40.7500";"0";"TopLayer"
"C19";"100nF";"SMD_Keramikkondensator_0603";"12.2500";"39.5000";"0";"TopLayer"
"C20";"4.7µF";"SMD_Keramikkondensator_0603";"23.7500";"40.7500";"180";"TopLayer"
"C21";"100nF";"SMD_Keramikkondensator_0603";"23.7500";"39.5000";"180";"TopLayer"
"C22";"4.7µF";"SMD_Keramikkondensator_0603";"23.7500";"45.7500";"180";"TopLayer"
"C23";"100nF";"SMD_Keramikkondensator_0603";"23.7500";"44.5000";"180";"TopLayer"
"C24";"1nF";"SMD_Keramikkondensator_0603";"23.7500";"43.2500";"180";"TopLayer"
"C25";"2.2µF";"SMD_Keramikkondensator_0603";"21.8000";"44.5000";"270";"TopLayer"
"C26";"4.7µF";"SMD_Keramikkondensator_0603";"20.5000";"47.7500";"270";"TopLayer"
"C27";"4.7µF";"SMD_Keramikkondensator_0603";"21.7500";"47.7500";"270";"TopLayer"
"C28";"4.7µF";"SMD_Keramikkondensator_0603";"12.2500";"44.5000";"0";"TopLayer"
"C29";"4.7µF";"SMD_Keramikkondensator_0603";"12.2500";"43.2500";"0";"TopLayer"
"C30";"100nF";"SMD_Keramikkondensator_0603";"13.0000";"47.7500";"270";"TopLayer"
"C31";"100nF";"SMD_Keramikkondensator_0603";"19.2500";"47.7500";"270";"TopLayer"
"C32";"470pF";"SMD_Keramikkondensator_0603";"13.7500";"49.7500";"180";"TopLayer"
"C33";"470pF";"SMD_Keramikkondensator_0603";"18.5000";"49.7500";"0";"TopLayer"
"C34";"100µF";"SMD_Tantalkondensator_1210_+";"3.5000";"14.5000";"0";"TopLayer"
"C35";"10µF";"SMD_Keramikkondensator_1206";"3.5000";"11.5000";"180";"TopLayer"
"C36";"100µF";"SMD_Tantalkondensator_1210_+";"3.5000";"18.0000";"0";"TopLayer"
"C37";"10µF";"SMD_Keramikkondensator_1206";"3.5000";"21.0000";"180";"TopLayer"
"C38";"100nF";"SMD_Keramikkondensator_0603";"-20.7500";"49.0000";"0";"TopLayer"
"C39";"100nF";"SMD_Keramikkondensator_0603";"-24.2500";"49.0000";"180";"TopLayer"
"C40";"10nF";"SMD_Keramikkondensator_0603";"-10.5000";"44.8000";"90";"TopLayer"
"C41";"1µF";"SMD_Keramikkondensator_0603";"18.5000";"-30.0000";"90";"TopLayer"
"C42";"1µF";"SMD_Keramikkondensator_0603";"46.5000";"-64.2500";"0";"TopLayer"
"C43";"1µF";"SMD_Keramikkondensator_0603";"15.0000";"-25.5000";"0";"TopLayer"
"C44";"100nF";"SMD_Keramikkondensator_0603";"17.5000";"8.0000";"270";"TopLayer"
"C45";"10pF";"SMD_Keramikkondensator_0603";"14.0000";"16.7500";"90";"TopLayer"
"C46";"10pF";"SMD_Keramikkondensator_0603";"16.5000";"16.7500";"90";"TopLayer"
"C1A";"100nF";"SMD_Keramikkondensator_0603";"-31.2500";"35.0000";"0";"TopLayer"
"C2A";"100nF";"SMD_Keramikkondensator_0603";"-31.2500";"36.2500";"0";"TopLayer"
"C3A";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"60.0000";"90";"TopLayer"
"C4A";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"52.0000";"90";"TopLayer"
"C5A";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"44.0000";"90";"TopLayer"
"C6A";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"36.0000";"90";"TopLayer"
"C7A";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"28.0000";"90";"TopLayer"
"C8A";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"20.0000";"90";"TopLayer"
"C9A";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"12.0000";"90";"TopLayer"
"C10A";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"4.0000";"90";"TopLayer"
"C1B";"100nF";"SMD_Keramikkondensator_0603";"-31.2500";"-29.0000";"0";"TopLayer"
"C2B";"100nF";"SMD_Keramikkondensator_0603";"-31.2500";"-27.7500";"0";"TopLayer"
"C3B";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"-4.0000";"90";"TopLayer"
"C4B";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"-12.0000";"90";"TopLayer"
"C5B";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"-20.0000";"90";"TopLayer"
"C6B";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"-28.0000";"90";"TopLayer"
"C7B";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"-36.0000";"90";"TopLayer"
"C8B";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"-44.0000";"90";"TopLayer"
"C9B";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"-52.0000";"90";"TopLayer"
"C10B";"100nF";"SMD_Keramikkondensator_0603";"-42.0000";"-60.0000";"90";"TopLayer"
