"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"C1A";"10nF";"SMD_Keramikkondensator_0603";"-49.0000";"30.5000";"0";"TopLayer"
"C2A";"100nF";"SMD_Keramikkondensator_0603";"-49.0000";"29.3000";"0";"TopLayer"
"C3A";"10µF";"SMD_Keramikkondensator_1206";"-53.5000";"27.0000";"270";"TopLayer"
"C4A";"10nF";"SMD_Keramikkondensator_0603";"-49.0000";"8.5000";"0";"TopLayer"
"C5A";"100nF";"SMD_Keramikkondensator_0603";"-49.0000";"7.3000";"0";"TopLayer"
"C6A";"10µF";"SMD_Keramikkondensator_1206";"-53.5000";"5.0000";"270";"TopLayer"
"C7A";"10nF";"SMD_Keramikkondensator_0603";"-49.0000";"-13.5000";"0";"TopLayer"
"C8A";"100nF";"SMD_Keramikkondensator_0603";"-49.0000";"-14.7000";"0";"TopLayer"
"C9A";"10µF";"SMD_Keramikkondensator_1206";"-53.5000";"-17.0000";"270";"TopLayer"
"C10A";"10nF";"SMD_Keramikkondensator_0603";"-49.0000";"-35.5000";"0";"TopLayer"
"C11A";"100nF";"SMD_Keramikkondensator_0603";"-49.0000";"-36.7000";"0";"TopLayer"
"C12A";"10µF";"SMD_Keramikkondensator_1206";"-53.5000";"-39.0000";"270";"TopLayer"
"C1B";"10nF";"SMD_Keramikkondensator_0603";"-35.0000";"30.5000";"0";"TopLayer"
"C2B";"100nF";"SMD_Keramikkondensator_0603";"-35.0000";"29.3000";"0";"TopLayer"
"C3B";"10µF";"SMD_Keramikkondensator_1206";"-39.5000";"27.0000";"270";"TopLayer"
"C4B";"10nF";"SMD_Keramikkondensator_0603";"-35.0000";"8.5000";"0";"TopLayer"
"C5B";"100nF";"SMD_Keramikkondensator_0603";"-35.0000";"7.3000";"0";"TopLayer"
"C6B";"10µF";"SMD_Keramikkondensator_1206";"-39.5000";"5.0000";"270";"TopLayer"
"C7B";"10nF";"SMD_Keramikkondensator_0603";"-35.0000";"-13.5000";"0";"TopLayer"
"C8B";"100nF";"SMD_Keramikkondensator_0603";"-35.0000";"-14.7000";"0";"TopLayer"
"C9B";"10µF";"SMD_Keramikkondensator_1206";"-39.5000";"-17.0000";"270";"TopLayer"
"C10B";"10nF";"SMD_Keramikkondensator_0603";"-35.0000";"-35.5000";"0";"TopLayer"
"C11B";"100nF";"SMD_Keramikkondensator_0603";"-35.0000";"-36.7000";"0";"TopLayer"
"C12B";"10µF";"SMD_Keramikkondensator_1206";"-39.5000";"-39.0000";"270";"TopLayer"
"C1C";"10nF";"SMD_Keramikkondensator_0603";"-21.0000";"30.5000";"0";"TopLayer"
"C2C";"100nF";"SMD_Keramikkondensator_0603";"-21.0000";"29.3000";"0";"TopLayer"
"C3C";"10µF";"SMD_Keramikkondensator_1206";"-25.5000";"27.0000";"270";"TopLayer"
"C4C";"10nF";"SMD_Keramikkondensator_0603";"-21.0000";"8.5000";"0";"TopLayer"
"C5C";"100nF";"SMD_Keramikkondensator_0603";"-21.0000";"7.3000";"0";"TopLayer"
"C6C";"10µF";"SMD_Keramikkondensator_1206";"-25.5000";"5.0000";"270";"TopLayer"
"C7C";"10nF";"SMD_Keramikkondensator_0603";"-21.0000";"-13.5000";"0";"TopLayer"
"C8C";"100nF";"SMD_Keramikkondensator_0603";"-21.0000";"-14.7000";"0";"TopLayer"
"C9C";"10µF";"SMD_Keramikkondensator_1206";"-25.5000";"-17.0000";"270";"TopLayer"
"C10C";"10nF";"SMD_Keramikkondensator_0603";"-21.0000";"-35.5000";"0";"TopLayer"
"C11C";"100nF";"SMD_Keramikkondensator_0603";"-21.0000";"-36.7000";"0";"TopLayer"
"C12C";"10µF";"SMD_Keramikkondensator_1206";"-25.5000";"-39.0000";"270";"TopLayer"
"C1D";"10nF";"SMD_Keramikkondensator_0603";"-7.0000";"30.5000";"0";"TopLayer"
"C2D";"100nF";"SMD_Keramikkondensator_0603";"-7.0000";"29.3000";"0";"TopLayer"
"C3D";"10µF";"SMD_Keramikkondensator_1206";"-11.5000";"27.0000";"270";"TopLayer"
"C4D";"10nF";"SMD_Keramikkondensator_0603";"-7.0000";"8.5000";"0";"TopLayer"
"C5D";"100nF";"SMD_Keramikkondensator_0603";"-7.0000";"7.3000";"0";"TopLayer"
"C6D";"10µF";"SMD_Keramikkondensator_1206";"-11.5000";"5.0000";"270";"TopLayer"
"C7D";"10nF";"SMD_Keramikkondensator_0603";"-7.0000";"-13.5000";"0";"TopLayer"
"C8D";"100nF";"SMD_Keramikkondensator_0603";"-7.0000";"-14.7000";"0";"TopLayer"
"C9D";"10µF";"SMD_Keramikkondensator_1206";"-11.5000";"-17.0000";"270";"TopLayer"
"C10D";"10nF";"SMD_Keramikkondensator_0603";"-7.0000";"-35.5000";"0";"TopLayer"
"C11D";"100nF";"SMD_Keramikkondensator_0603";"-7.0000";"-36.7000";"0";"TopLayer"
"C12D";"10µF";"SMD_Keramikkondensator_1206";"-11.5000";"-39.0000";"270";"TopLayer"
"C1E";"10nF";"SMD_Keramikkondensator_0603";"7.0000";"30.5000";"0";"TopLayer"
"C2E";"100nF";"SMD_Keramikkondensator_0603";"7.0000";"29.3000";"0";"TopLayer"
"C3E";"10µF";"SMD_Keramikkondensator_1206";"2.5000";"27.0000";"270";"TopLayer"
"C4E";"10nF";"SMD_Keramikkondensator_0603";"7.0000";"8.5000";"0";"TopLayer"
"C5E";"100nF";"SMD_Keramikkondensator_0603";"7.0000";"7.3000";"0";"TopLayer"
"C6E";"10µF";"SMD_Keramikkondensator_1206";"2.5000";"5.0000";"270";"TopLayer"
"C7E";"10nF";"SMD_Keramikkondensator_0603";"7.0000";"-13.5000";"0";"TopLayer"
"C8E";"100nF";"SMD_Keramikkondensator_0603";"7.0000";"-14.7000";"0";"TopLayer"
"C9E";"10µF";"SMD_Keramikkondensator_1206";"2.5000";"-17.0000";"270";"TopLayer"
"C10E";"10nF";"SMD_Keramikkondensator_0603";"7.0000";"-35.5000";"0";"TopLayer"
"C11E";"100nF";"SMD_Keramikkondensator_0603";"7.0000";"-36.7000";"0";"TopLayer"
"C12E";"10µF";"SMD_Keramikkondensator_1206";"2.5000";"-39.0000";"270";"TopLayer"
"C1F";"10nF";"SMD_Keramikkondensator_0603";"21.0000";"30.5000";"0";"TopLayer"
"C2F";"100nF";"SMD_Keramikkondensator_0603";"21.0000";"29.3000";"0";"TopLayer"
"C3F";"10µF";"SMD_Keramikkondensator_1206";"16.5000";"27.0000";"270";"TopLayer"
"C4F";"10nF";"SMD_Keramikkondensator_0603";"21.0000";"8.5000";"0";"TopLayer"
"C5F";"100nF";"SMD_Keramikkondensator_0603";"21.0000";"7.3000";"0";"TopLayer"
"C6F";"10µF";"SMD_Keramikkondensator_1206";"16.5000";"5.0000";"270";"TopLayer"
"C7F";"10nF";"SMD_Keramikkondensator_0603";"21.0000";"-13.5000";"0";"TopLayer"
"C8F";"100nF";"SMD_Keramikkondensator_0603";"21.0000";"-14.7000";"0";"TopLayer"
"C9F";"10µF";"SMD_Keramikkondensator_1206";"16.5000";"-17.0000";"270";"TopLayer"
"C10F";"10nF";"SMD_Keramikkondensator_0603";"21.0000";"-35.5000";"0";"TopLayer"
"C11F";"100nF";"SMD_Keramikkondensator_0603";"21.0000";"-36.7000";"0";"TopLayer"
"C12F";"10µF";"SMD_Keramikkondensator_1206";"16.5000";"-39.0000";"270";"TopLayer"
